               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12656,            0.017475,            0.029437,           0.0024827,             0.74603,           0.0046045,           0.0011104,            0.083666,            0.011379,            0.018805,              0.0973,              0.0003,              0.0003
                   1,             0.11982,            0.017841,             0.03095,           0.0026762,             0.80159,           0.0063397,            0.001346,            0.080427,            0.011651,            0.018799,            0.093695,          0.00069538,          0.00069538
                   2,             0.11198,            0.019363,            0.031045,           0.0026376,             0.78571,           0.0059349,            0.001192,            0.076291,             0.01198,            0.018951,            0.090085,           0.0010855,           0.0010855
                   3,            0.093426,            0.021911,            0.027663,            0.002869,             0.85714,            0.010778,           0.0031395,            0.065031,            0.012797,            0.018878,             0.08647,           0.0014703,           0.0014703
                   4,            0.083124,            0.022864,            0.026643,           0.0026416,             0.78571,            0.012683,           0.0036811,            0.055198,            0.013484,            0.019012,             0.08285,           0.0018498,           0.0018498
                   5,            0.088126,            0.024052,              0.0329,           0.0028687,             0.85714,            0.022215,           0.0053483,            0.047716,             0.01372,            0.018994,            0.079224,           0.0022241,           0.0022241
                   6,            0.074302,             0.02199,            0.024722,           0.0030969,             0.92857,            0.021272,           0.0061882,            0.042348,            0.013648,            0.018933,            0.075593,           0.0025931,           0.0025931
                   7,            0.071034,            0.024189,            0.025979,           0.0031199,             0.92857,            0.038061,            0.011915,            0.040971,            0.013271,            0.019305,            0.071957,           0.0029568,           0.0029568
                   8,            0.070506,            0.026123,            0.028598,           0.0033203,                   1,            0.070482,            0.022776,            0.037974,            0.012863,            0.019073,            0.068315,           0.0033152,           0.0033152
                   9,            0.069854,            0.024556,            0.028437,           0.0057046,             0.92857,             0.14132,            0.044787,            0.036902,            0.012271,            0.018457,            0.064668,           0.0036683,           0.0036683
                  10,            0.066966,            0.024013,            0.026605,            0.022653,             0.92857,             0.25047,             0.11637,            0.034576,            0.011773,            0.017944,            0.061016,           0.0040162,           0.0040162
                  11,            0.055958,            0.024098,            0.024264,              0.1931,             0.87302,             0.37703,             0.16559,            0.032611,            0.011563,             0.01745,            0.057359,           0.0043588,           0.0043588
                  12,            0.055908,            0.020781,            0.029491,             0.41041,             0.61905,             0.49819,             0.22322,            0.036539,            0.010861,            0.017291,            0.053696,           0.0046961,           0.0046961
                  13,            0.049759,            0.020134,            0.027965,             0.37645,             0.61905,             0.48889,             0.20629,            0.030167,            0.010998,            0.017456,            0.050028,           0.0050281,           0.0050281
                  14,            0.059503,            0.021801,            0.026064,             0.31908,             0.57481,             0.41843,             0.16132,            0.037815,            0.010203,              0.0177,            0.046355,           0.0053548,           0.0053548
                  15,            0.058509,             0.01981,            0.024115,             0.14432,             0.56349,             0.20474,            0.048909,            0.039916,            0.010003,            0.017786,            0.042676,           0.0056763,           0.0056763
                  16,            0.053696,            0.019483,            0.024031,             0.28319,             0.73016,             0.42323,             0.13699,            0.035088,           0.0099125,            0.017651,            0.038992,           0.0059925,           0.0059925
                  17,            0.056354,            0.018399,            0.024961,             0.36158,             0.53175,             0.50761,             0.19449,            0.033749,           0.0091533,            0.017371,            0.035303,           0.0063034,           0.0063034
                  18,            0.060373,            0.018678,            0.026007,             0.15514,             0.70635,             0.32797,            0.064302,            0.046072,           0.0089964,            0.017389,            0.031609,            0.006609,            0.006609
                  19,            0.060353,            0.018606,            0.023563,             0.20728,              0.6556,             0.27263,            0.080287,            0.042616,           0.0082388,            0.017267,            0.027909,           0.0069093,           0.0069093
                  20,            0.058574,            0.020928,             0.02862,             0.22914,             0.71982,             0.44739,             0.13018,            0.036397,           0.0080484,            0.017212,            0.024204,           0.0072044,           0.0072044
                  21,             0.05836,            0.018266,            0.024462,             0.35081,             0.67392,             0.52532,             0.19572,            0.045598,            0.007097,             0.01709,            0.020494,           0.0074942,           0.0074942
                  22,            0.053252,            0.016517,            0.027635,             0.28871,              0.7829,             0.44924,             0.13871,             0.03894,           0.0070555,            0.017047,            0.016779,           0.0077787,           0.0077787
                  23,            0.054325,            0.019059,            0.025911,             0.43913,              0.6746,             0.59184,             0.24082,            0.040775,           0.0063051,            0.017328,            0.013058,           0.0080579,           0.0080579
                  24,             0.05739,            0.016874,            0.024058,             0.24203,             0.60917,             0.34815,             0.13046,            0.042118,           0.0062242,            0.017249,           0.0093318,           0.0083318,           0.0083318
                  25,            0.061732,            0.017149,            0.028656,             0.38563,             0.57313,             0.58816,             0.21199,            0.035953,           0.0061284,            0.017352,             0.00835,             0.00835,             0.00835
                  26,            0.053734,             0.02139,            0.027874,             0.34288,             0.71429,             0.51496,             0.21159,            0.033427,           0.0062606,            0.017432,             0.00835,             0.00835,             0.00835
                  27,             0.05401,            0.019363,            0.026833,             0.30086,             0.71429,             0.51687,             0.17735,            0.035315,           0.0057668,            0.017474,            0.008284,            0.008284,            0.008284
                  28,            0.050823,            0.022538,            0.025675,             0.26324,              0.6013,             0.51893,               0.232,            0.033535,           0.0059327,            0.017426,            0.008218,            0.008218,            0.008218
                  29,            0.057084,            0.018665,            0.024361,             0.28628,             0.92857,             0.65861,             0.24626,            0.037883,           0.0055937,            0.017334,            0.008152,            0.008152,            0.008152
                  30,             0.04817,            0.015113,            0.024006,             0.35242,             0.48212,             0.57763,             0.30038,             0.03682,           0.0057224,            0.017377,            0.008086,            0.008086,            0.008086
                  31,            0.052454,            0.014857,            0.022073,             0.29783,             0.92857,             0.61277,             0.21861,            0.032967,           0.0056947,            0.017535,             0.00802,             0.00802,             0.00802
                  32,            0.049399,             0.01514,            0.025642,             0.33058,             0.92857,             0.63171,              0.2901,            0.033481,            0.005192,            0.017676,            0.007954,            0.007954,            0.007954
                  33,            0.051276,            0.020602,            0.024471,             0.28915,             0.71429,             0.61839,             0.35842,            0.029478,           0.0053349,            0.017682,            0.007888,            0.007888,            0.007888
                  34,            0.046235,            0.017132,            0.026318,             0.43977,             0.92857,             0.69954,             0.25971,            0.032592,           0.0049657,            0.017944,            0.007822,            0.007822,            0.007822
                  35,            0.043718,            0.015982,            0.026425,             0.79976,             0.41694,             0.59455,             0.31356,            0.037219,           0.0054927,            0.017847,            0.007756,            0.007756,            0.007756
                  36,            0.055213,            0.015229,            0.027976,             0.33499,             0.92857,             0.67824,              0.2988,            0.026574,           0.0050648,            0.017767,             0.00769,             0.00769,             0.00769
                  37,             0.04031,            0.015325,            0.022769,             0.22283,             0.92857,              0.5391,             0.28536,            0.033278,            0.005836,            0.017627,            0.007624,            0.007624,            0.007624
                  38,            0.049801,            0.015159,            0.027823,              0.3534,             0.97673,             0.65255,             0.31642,            0.026119,           0.0053283,            0.017578,            0.007558,            0.007558,            0.007558
                  39,            0.047101,            0.015444,             0.02335,             0.36491,             0.95368,             0.69767,             0.34594,            0.027431,           0.0059633,            0.017548,            0.007492,            0.007492,            0.007492
                  40,            0.041402,             0.01496,            0.023241,             0.22258,             0.92857,             0.45289,             0.20222,            0.039604,             0.00567,            0.017657,            0.007426,            0.007426,            0.007426
                  41,            0.048328,            0.011866,            0.025217,              0.3802,                   1,             0.61355,             0.31491,            0.028826,           0.0052518,            0.017578,             0.00736,             0.00736,             0.00736
                  42,            0.037325,            0.014485,            0.024693,             0.27781,             0.90353,              0.5904,             0.29489,            0.036836,           0.0054081,            0.017529,            0.007294,            0.007294,            0.007294
                  43,            0.045602,            0.015952,               0.026,             0.44954,                   1,             0.64235,             0.35573,             0.02373,           0.0047964,            0.017395,            0.007228,            0.007228,            0.007228
                  44,            0.040557,            0.014916,             0.02627,             0.25637,             0.78571,             0.57515,              0.3012,            0.028441,           0.0048118,            0.017377,            0.007162,            0.007162,            0.007162
                  45,            0.044456,            0.016325,            0.026256,             0.39847,                   1,             0.62945,             0.30112,            0.025221,            0.004246,            0.017291,            0.007096,            0.007096,            0.007096
                  46,            0.044472,            0.015035,            0.028396,             0.44626,             0.71429,             0.64718,             0.31248,            0.024057,            0.004292,             0.01723,             0.00703,             0.00703,             0.00703
                  47,             0.03368,            0.013228,            0.022629,             0.37301,                   1,             0.56233,             0.32409,            0.031737,           0.0041115,            0.017169,            0.006964,            0.006964,            0.006964
                  48,            0.045671,            0.013668,            0.024426,             0.52341,             0.70295,             0.62475,             0.34084,            0.026152,           0.0040921,            0.017096,            0.006898,            0.006898,            0.006898
                  49,            0.040269,            0.014521,            0.025717,             0.41103,             0.64286,              0.5899,             0.30772,            0.028367,           0.0038423,              0.0172,            0.006832,            0.006832,            0.006832
                  50,            0.039733,            0.015651,             0.02608,             0.39893,                   1,             0.62989,             0.36465,            0.023145,           0.0039221,            0.017108,            0.006766,            0.006766,            0.006766
                  51,            0.037309,            0.015591,            0.025498,              0.4268,                   1,              0.6323,             0.32797,            0.026338,           0.0039285,            0.017224,              0.0067,              0.0067,              0.0067
                  52,            0.039096,            0.013475,            0.025099,             0.41557,                   1,             0.63022,             0.35328,            0.025075,           0.0039825,            0.017212,            0.006634,            0.006634,            0.006634
                  53,            0.037361,            0.013596,            0.024194,             0.49423,                   1,             0.66772,             0.36172,            0.023784,           0.0039648,            0.017267,            0.006568,            0.006568,            0.006568
                  54,            0.037643,            0.015045,            0.028023,              0.3864,             0.89937,             0.62814,             0.35702,             0.02931,           0.0040341,            0.017224,            0.006502,            0.006502,            0.006502
                  55,            0.044573,            0.012837,            0.027916,             0.48364,                   1,             0.62687,             0.34238,             0.02348,           0.0039946,             0.01734,            0.006436,            0.006436,            0.006436
                  56,            0.038119,            0.014864,            0.024698,             0.47779,                   1,             0.64436,              0.3694,            0.020088,           0.0041155,            0.017236,             0.00637,             0.00637,             0.00637
                  57,            0.044154,             0.01639,            0.024648,             0.48231,                   1,             0.61719,              0.2854,            0.026351,            0.004072,            0.017322,            0.006304,            0.006304,            0.006304
                  58,            0.038255,            0.013205,            0.025034,             0.49143,                   1,             0.62801,               0.364,            0.020852,           0.0039616,            0.017261,            0.006238,            0.006238,            0.006238
                  59,             0.04088,            0.016571,            0.025409,              0.4941,                   1,             0.58967,             0.29754,            0.024635,           0.0038101,            0.017322,            0.006172,            0.006172,            0.006172
                  60,            0.040702,            0.014498,            0.025156,             0.45144,                   1,             0.57789,             0.30745,            0.022605,           0.0040019,             0.01734,            0.006106,            0.006106,            0.006106
                  61,            0.036989,            0.013808,            0.025633,             0.49051,                   1,             0.60325,             0.34187,            0.023969,           0.0038657,            0.017413,             0.00604,             0.00604,             0.00604
